,French,English
1606,forte,strong
1607,gentille,gentle
1608,campagne,countryside
1609,raisons,reasons
1610,malgré,despite
1611,alcool,alcohol
1612,regardé,looked
1613,jerry,jerry
1614,billets,tickets
1615,fantastique,fantastic
1616,lee,lee
1617,théâtre,theater
1618,vôtre,your
1619,samedi,Saturday
1620,pluie,rain
1621,fermé,closed
1622,relation,relationship
1623,frappé,hit
1624,restaurant,restaurant
1625,douce,fresh
1626,maladie,disease
1627,parlait,speaking
1628,raté,missed
1629,casse,broken
1630,dessous,below
1631,pourrai,could
1632,victoire,victory
1633,voudrait,would
1634,remarqué,Note
1635,assurer,ensure
1636,pleure,cry
1637,bouteille,bottle
1638,gare,station
1639,carrière,career
1640,sentiments,feelings
1641,suivi,followed
1642,vies,lives
1643,fiston,son
1644,vendu,sold
1645,attendant,Meanwhile
1646,pourras,able
1647,amoureuse,in love
1648,mens,mens
1649,falloir,have to
1650,chinois,Chinese
1651,étranger,foreign
1652,appelait,called
1653,assure,assures
1654,étant,being
1655,queue,tail
1656,odeur,odour
1657,enlève,removes
1658,produit,product
1659,meurs,die
1660,secrets,secrets
1661,pression,pressure
1662,fatigué,tired
1663,aies,hast
1664,plage,beach
1665,okay,okay
1666,animal,animal
1667,frappe,hit
1668,montagne,Mountain
1669,coffre,chest
1670,passage,passage
1671,suivant,following
1672,signal,signal
1673,discours,speech
1674,cents,cents
1675,claire,Claire
1676,g,g
1677,rivière,river
1678,costume,suit
1679,prendra,will take
1680,souhaite,wish
1681,hasard,hazard
1682,journaux,newspapers
1683,aveugle,blinded
1684,lis,Lily
1685,demandez,ask
1686,retraite,retirement
1687,afin,to
1688,vendredi,Friday
1689,van,van
1690,auraient,would
1691,obligé,forced
1692,major,Staff
1693,neige,snow
1694,remercier,thank
1695,fusil,musket
1696,gardes,guards
1697,faible,low
1698,pauvres,poor
1699,noirs,black
1700,gâteau,cake
1701,cesse,constantly
1702,parfaitement,perfectly
1703,excuses,apology
1704,viande,meat
1705,ministre,minister
1706,univers,universe
1707,vienne,Vienna
1708,utile,useful
1709,demandais,asked
1710,crétin,dumbass
1711,gaffe,gaffe
1712,cache,hidden
1713,disant,saying
1714,décider,decide
1715,dort,sleeps
1716,gaz,gas
1717,blancs,whites
1718,connaissance,knowledge
1719,vouliez,wanted
1720,jake,jake
1721,vidéo,video
1722,bataille,battle
1723,vive,viva
1724,anna,anna
1725,martin,martin
1726,iui,iui
1727,os,bone
1728,entend,hears
1729,jeux,games
1730,will,will
1731,verras,see
1732,date,dated
1733,échapper,escape
1734,naissance,birth
1735,droits,rights
1736,assassin,assassin
1737,attendu,expected
1738,montez,mount
1739,nouvel,new
1740,pensent,think
1741,génie,genius
1742,sérieusement,seriously
1743,cible,target
1744,prépare,prepare
1745,agir,to act
1746,militaire,military
1747,futur,future
1748,attraper,to catch
1749,bal,ball
1750,europe,Europe
1751,californie,California
1752,donnez,give
1753,cousin,cousin
1754,vert,green
1755,poids,weight
1756,volonté,will
1757,ventre,belly
1758,accepte,accepted
1759,amené,bring
1760,recevoir,to receive
1761,inquiétez,worry
1762,perd,loses
1763,autrement,other
1764,informations,news
1765,titre,title
1766,célèbre,popular
1767,couple,couple
1768,sexy,sexy
1769,serons,will
1770,certaine,some
1771,parlons,let's talk
1772,star,star
1773,étoiles,stars
1774,rome,Rome
1775,los,the bone
1776,répondu,answered
1777,resté,rest
1778,charmant,charming
1779,puissant,powerful
1780,zéro,zero
1781,genoux,knees
1782,mine,mine
1783,couilles,balls
1784,pilote,pilot
1785,maria,maria
1786,style,style
1787,ramène,brings back
1788,voulons,want to
1789,embrasser,to kiss
1790,amener,lead
1791,valeur,value
1792,fortune,fortune
1793,reprendre,resume
1794,revenez,return
1795,vieil,old
1796,walter,walter
1797,servi,served
1798,arrivés,arrived
1799,lève,survey
1800,voleur,thief
1801,côtés,sides
1802,chris,chris
1803,note,note
1804,préféré,prefer
1805,couché,layer
1806,milliers,thousands
1807,aéroport,airport
1808,prévenir,prevent
1809,château,castle
1810,apparemment,apparently
1811,gardez,keep
1812,privé,private
1813,détails,details
1814,larry,larry
1815,direct,direct
1816,reposer,rest
1817,commande,ordered
1818,cherchez,looking
1819,fer,iron
1820,conduit,pipe
1821,conscience,consciousness
1822,oreilles,ears
1823,conversation,conversation
1824,regardes,look
1825,joues,play
1826,ennemis,enemies
1827,attendent,wait
1828,article,article
1829,dieux,gods
1830,talent,talent
1831,aise,easy
1832,poulet,chicken
1833,passée,past
1834,comprend,comprises
1835,gorge,throat
1836,feras,shalt
1837,tribunal,court
1838,découvrir,discover
1839,agréable,pleasant
1840,jette,throws
1841,test,test
1842,emmerde,hassle
1843,détruit,destroy
1844,nerveux,nervous
1845,saint,Holy
1846,marrant,funny
1847,joindre,join
1848,sentiment,feeling
1849,lance,spear
1850,humaine,human
1851,acte,act
1852,jane,jane
1853,pis,udder
1854,enculé,cocksucker
1855,tuée,killed
1856,saura,will know
1857,doigt,finger
1858,pourrez,can
1859,passera,will pass
1860,horreur,horror
1861,comptes,accounts
1862,dernières,latest
1863,violence,violence
1864,fumer,to smoke
1865,invités,guests
1866,parlais,speaking
1867,job,job
1868,salon,living room
1869,défendre,defend
1870,mariés,married
1871,rock,rock
1872,apporter,to bring
1873,coupé,chopped off
1874,repos,rest
1875,paquet,package
1876,page,page
1877,utilise,uses
1878,victimes,victims
1879,sage,wise
1880,aidé,help
1881,intelligent,clever
1882,ombre,shadow
1883,vache,cow
1884,désert,desert
1885,forêt,forest
1886,parfaite,perfect
1887,tombée,fall
1888,extérieur,outside
1889,entré,Between
1890,série,series
1891,concerne,concerned
1892,paroles,lyrics
1893,dira,tell
1894,it,it
1895,champion,champion
1896,fbi,FBI
1897,lundi,Monday
1898,moteur,engine
1899,ouverte,opened
1900,mince,thin
1901,al,al
1902,russe,Russian
1903,grandi,grown up
1904,rappelles,remember
1905,dormi,slept
1906,ordinateur,computer
1907,in,in
1908,angeles,angeles
1909,accepté,accepted
1910,désormais,from now on
1911,acteur,actor
1912,membres,members
1913,trouvée,found
1914,pete,pete
1915,surpris,surprised
1916,miracle,miracle
1917,vole,Fly
1918,manquer,to lack
1919,franchement,frankly
1920,apprécie,appreciate
1921,cigarette,cigarette
1922,chemise,shirt
1923,mark,mark
1924,tente,attempted
1925,faisant,making
1926,billet,ticket
1927,reculez,step back
1928,moyens,means
1929,importante,important
1930,unité,unit
1931,champagne,Champagne
1932,pensait,thought
1933,www,www
1934,partager,share
1935,smith,smith
1936,minuit,midnight
1937,américaine,American
1938,courses,racing
1939,puissance,power
1940,william,william
1941,nombreux,numerous
1942,réparer,to fix
1943,caché,hidden
1944,haute,high
1945,sommeil,sleep
1946,essence,gasoline
1947,riches,rich
1948,lac,lake
1949,maire,mayor
1950,mode,fashion
1951,vingt,twenty
1952,reviendra,will come back
1953,pousse,shoot
1954,amusant,amusing
1955,passez,skip
1956,services,services
1957,doc,doc
1958,rues,streets
1959,of,of
1960,risques,risks
1961,émission,program
1962,leçon,lesson
1963,annonce,ad
1964,plans,Plans
1965,usine,factory
1966,louis,louis
1967,imaginer,imagine
1968,chauffeur,driver
1969,marque,Mark
1970,parc,Park
1971,épée,sword
1972,fesses,buttocks
1973,échange,exchange
1974,souvenirs,memories
1975,créer,create
1976,senti,felt
1977,signer,sign
1978,artiste,artist
1979,jeté,thrown
1980,réveiller,wake
1981,hiver,winter
1982,également,also
1983,hum,hum
1984,souffle,breath
1985,vrais,real
1986,arbres,trees
1987,saute,jumped up
1988,fuir,to run away
1989,meme,even
1990,battu,beaten
1991,permission,permission
1992,casser,break
1993,chicago,Chicago
1994,allemands,German
1995,utilisé,in use
1996,mentir,lie
1997,souci,worry
1998,é,ed
1999,coûte,cost
2000,paye,paid
2001,tres,very
2002,offert,Free
2003,sir,sir
2004,no,No.
2005,chair,flesh
2006,caisse,checkout
2007,supplie,beseech
2008,dégagez,untap
2009,raconté,told
2010,andy,andy
2011,lunettes,glasses
2012,chouette,owl
2013,menteur,liar
2014,trouvera,will find
2015,semblant,show
2016,ignorais,ignorant
2017,perdue,lost
2018,whisky,whiskey
2019,rentrez,come back
2020,premiers,first
2021,pantalon,trousers
2022,menace,threat
2023,racontes,talking
2024,douche,shower
2025,oiseaux,birds
2026,finie,finished
2027,auront,will
2028,débarrasser,get rid of
2029,membre,member
2030,perte,loss
2031,verrez,see
2032,front,forehead
2033,lèvres,lips
2034,mai,may
2035,fac,uni
2036,allo,Hello
2037,connaissais,knew
2038,gouverneur,governor
2039,monnaie,change
2040,chou,cabbage
2041,achète,purchased
2042,thomas,thomas
2043,secrétaire,secretary
2044,montré,shown
2045,jones,jones
2046,écris,write
2047,parlent,talk
2048,chaise,chair
2049,herbe,grass
2050,créé,created
2051,manteau,coat
2052,chocolat,chocolate
2053,pause,pause
2054,côte,coast
2055,abandonner,to abandon
2056,policier,police officer
2057,patient,patient
2058,dave,dave
2059,études,studies
2060,ballon,ball
2061,mène,leads
2062,respire,breathe
2063,mouvement,movement
2064,suicide,suicide
2065,japonais,Japanese
2066,accès,access
2067,tienne,yours
2068,laisserai,leave
2069,poupée,doll
2070,innocent,innocent
2071,allés,gone
2072,identité,identity
2073,véritable,true
2074,simon,Simon
2075,devenue,become
2076,totalement,totally
2077,piège,trap
2078,gloire,glory
2079,pourraient,could
2080,abri,shelter
2081,explique,Explain
2082,rapidement,quickly
2083,fonctionne,works
2084,boy,boy
2085,foule,crowd
2086,pensées,thoughts
2087,maisons,houses
2088,fantôme,ghost
2089,source,source
2090,lancer,launch
2091,suit,follows
2092,changement,change
2093,choc,shock
2094,veste,jacket
2095,attaquer,attack
2096,faveur,favor
2097,oreille,hear
2098,touchez,touch
2099,malheureusement,Unfortunately
2100,soudain,suddenly
2101,tués,you are
2102,bref,in short
2103,malheur,misfortune
2104,portable,portable
2105,chaleur,heat
2106,mensonge,lie
2107,répondez,answer
2108,heureusement,fortunately
2109,emploi,employment
2110,lois,laws
2111,nettoyer,clean
2112,attrape,catch
2113,geste,gesture
2114,verrai,see
2115,notes,Notes
2116,plat,dish
2117,etait,was
2118,corde,rope
2119,sacrée,sacred
2120,cherches,looking
2121,siècle,century
2122,etat,state
2123,distance,distance
2124,refusé,refuse
2125,mars,March
2126,saison,season
2127,bel,beautiful
2128,monté,mounted
2129,idiote,idiot
2130,recherches,research
2131,alerte,alert
2132,ennuie,bored
2133,christ,Christ
2134,remonte,traced back
2135,plaisante,joking
2136,city,city
2137,bat,beats
2138,images,imagery
2139,voulaient,wanted
2140,titres,securities
2141,alice,alice
2142,couverture,blanket
2143,moments,time
2144,big,big
2145,mesure,measured
2146,atteindre,reach
2147,singe,monkey
2148,pistolet,gun
2149,frontière,border
2150,réel,real
2151,réfléchi,reflexive
2152,somme,sum
2153,agents,agents
2154,ours,bear
2155,prisonniers,captives
2156,évidemment,obviously
2157,afrique,Africa
2158,allemand,German
2159,dan,dan
2160,couche,layer
2161,relations,relationship
2162,texas,Texas
2163,delà,of the
2164,celles,those
2165,navire,ship
2166,deviens,become
2167,bite,cock
2168,laisses,leashes
2169,dirige,directed
2170,partenaire,partner
2171,aube,dawn
2172,demi,half
2173,affreux,frightful
2174,camarade,comrade
2175,street,street
2176,inquiéter,worry
2177,tableau,board
2178,fatiguée,weary
2179,entreprise,business
2180,demandes,requests
2181,nana,girl
2182,re,re
2183,coincé,stuck up
2184,tenu,tenuous
2185,viré,fired
2186,suspect,suspect
2187,reconnais,recognize
2188,ressens,feel
2189,juif,Jewish
2190,directement,directly
2191,mexique,Mexico
2192,cherché,sought
2193,marine,Marine
2194,prisonnier,prisoner
2195,finit,ends
2196,howard,howard
2197,étoile,star
2198,jean,jeans
2199,convaincre,to convince
2200,filer,spin
2201,kevin,kevin
2202,bosse,bump
2203,pousser,push
2204,protection,protection
2205,signé,sign
2206,crier,yell
2207,rêvé,dream
2208,respirer,breathe
2209,propriétaire,owner
2210,prêtre,priest
2211,donnes,give
2212,taire,to hush up
2213,permettre,to permit
2214,prudent,careful
2215,carl,carl
2216,commis,clerk
2217,chaîne,chain
2218,copains,friends
2219,sec,dry
2220,cauchemar,nightmare
2221,laver,wash
2222,hollywood,hollywood
2223,jeff,jeff
2224,réfléchis,thoughtful
2225,trompe,deceived
2226,hais,hate
2227,immeuble,building
2228,supporter,support
2229,soi,self
2230,bagages,baggage
2231,tir,shoot
2232,traverser,to cross
2233,commissaire,commissioner
2234,mac,mac
2235,donnerai,give
2236,reviendrai,return
2237,larmes,tears
2238,déranger,to bother
2239,Arthur,Arthur
2240,pigé,cottoned
2241,réserve,Reserve
2242,adam,Adam
2243,volant,flying
2244,uniforme,uniform
2245,st,st
2246,croient,believe
2247,différents,different
2248,souffrir,suffer
2249,maudit,damn
2250,valise,suitcase
2251,prendrai,take
2252,assurance,insurance
2253,abandonné,abandoned
2254,dames,ladies
2255,lendemain,next day
2256,navré,heartbroken
2257,prennent,take
2258,sénateur,senator
2259,roule,rolled
2260,montagnes,mountains
2261,lapin,rabbit
2262,juifs,Jewish
2263,amuse,amused
2264,espérais,hoped
2265,fleur,flower
2266,merveilleuse,wonderful
2267,tournée,tour
2268,scott,scott
2269,information,information
2270,foyer,home
2271,tourné,turned
2272,personnage,character
2273,permettez,allow
2274,amitié,friendship
2275,hâte,haste
2276,opinion,opinion
2277,curieux,curious
2278,concert,concert
2279,enfance,childhood
2280,extraordinaire,extraordinary
2281,davantage,more
2282,saviez,knew
2283,chargé,charge
2284,porc,pork
2285,recommence,start again
2286,chèque,check
2287,piano,piano
2288,jouez,play
2289,océan,ocean
2290,ayant,having
2291,go,go
2292,pattes,paws
2293,ravie,thrilled
2294,trace,trace
2295,réveillé,wake up
2296,miles,miles
2297,soupe,soup
2298,sucre,sugar
2299,écoutes,plays
2300,vierge,Virgin
2301,mauvaises,bad
2302,objet,object
2303,adorable,adorable
2304,chine,China
2305,sonne,sounds
2306,envoyez,send
2307,réputation,reputation
2308,kate,kate
2309,sport,sport
2310,brave,brave
2311,lieux,places
2312,brûle,burns
2313,russes,Russian
2314,murs,walls
2315,second,second
2316,etes,'re
2317,facilement,easily
2318,troupes,troops
2319,titrage,titration
2320,canon,gun
2321,bague,Ring
2322,bâtiment,building
2323,seraient,would
2324,cellule,cell
2325,Susan,Susan
2326,survivre,to survive
2327,trouverai,find
2328,printemps,spring
2329,voisins,neighbors
2330,nuits,nights
2331,chances,odds
2332,contrôler,control
2333,compliqué,complicated
2334,voyais,see
2335,retirer,remove
2336,ancienne,Ancient
2337,théorie,theory
2338,avancez,advance
2339,studio,studio
2340,exploser,explode
2341,explosion,explosion
2342,fiancée,fiancee
2343,évident,obvious
2344,gardé,keep
2345,accusé,accused
2346,Annie,Annie
2347,témoins,witnesses
2348,désir,desire
2349,humanité,humanity
2350,amen,Amen
2351,magie,magic
2352,restera,will stay
2353,palais,palace
2354,cirque,circus
2355,cinglé,crazy
2356,conduis,lead
2357,sales,dirty
2358,traces,footsteps
2359,station,station
2360,construire,to build
2361,joey,joey
2362,siège,seat
2363,Kelly,Kelly
2364,semblait,appeared
2365,vivants,living
2366,voient,see
2367,représente,represented
2368,sombre,dark
2369,lourd,heavy
2370,lá,the
2371,familles,families
2372,égal,equal
2373,surveille,monitors
2374,terme,term
2375,gêne,uncomfortable
2376,poule,hen
2377,pére,dad
2378,devraient,should
2379,soif,thirst
2380,haine,hatred
2381,Rachel,Rachel
2382,Jason,Jason
2383,surveiller,monitor
2384,ted,ted
2385,marin,marine
2386,procureur,prosecutor
2387,traité,treaty
2388,vivent,live
2389,chansons,songs
2390,souvenez,remember
2391,entière,complete
2392,résultat,result
2393,préparé,prepare
2394,top,top
2395,enchantée,Nice to meet you
2396,gardien,guardian
2397,traite,treaty
2398,avancer,moving forward
2399,commun,common
2400,pêche,peach
2401,tien,yours
2402,posé,laid
2403,libérer,release
2404,gamins,kids
2405,taule,slammer
2406,retournez,return
2407,médicaments,pharmaceuticals
2408,matériel,equipment
2409,crâne,skull
2410,région,region
2411,débile,stupid
2412,science,science
2413,délicieux,delicious
2414,privée,private
2415,créature,creature
2416,ho,ho
2417,ed,ed
2418,king,king
2419,liquide,liquid
2420,réglé,rule
2421,gay,gay
2422,apprend,learn
2423,quant,about
2424,péché,peach
2425,répéter,repeat
2426,auprès,nearby
2427,tâche,task
2428,devine,guess
2429,mener,lead
2430,vente,sale
2431,plu,enjoyed
2432,joueur,player
2433,modèle,model
2434,aurons,will
2435,up,up
2436,mensonges,lies
2437,fermez,close
2438,traiter,treat
2439,secteur,sector
2440,soyons,let's
2441,barre,closed off
2442,appelée,called
2443,projets,projects
2444,roman,novel
2445,veille,Eve
2446,étudier,to study
2447,tenue,outfit
2448,physique,physical
2449,passait,going
2450,concours,contest
2451,jaune,yellow
2452,inconnu,unknown
2453,victor,victor
2454,vision,vision
2455,black,black
2456,lentement,slowly
2457,surface,area
2458,dick,dick
2459,com,com
2460,matt,matt
2461,kilomètres,kilometers
2462,baise,fuck
2463,x,x
2464,sers,serve
2465,abandonne,abandoned
2466,vivante,alive
2467,spéciale,special
2468,prof,teacher
2469,poissons,Pisces
2470,bosser,work
2471,cherchais,looking
2472,my,my
2473,empire,empire
2474,cigarettes,cigarettes
2475,amies,friends
2476,aventure,adventure
2477,responsabilité,responsibility
2478,sauve,Safe
2479,devrions,should
2480,lucy,lucy
2481,atteint,achieved
2482,infirmière,nurse
2483,humeur,mood
2484,descendez,down
2485,résultats,results
2486,tenté,attempted
2487,baisse,drop
2488,mn,mn
2489,rare,rare
2490,empreintes,fingerprints
2491,proches,relatives
2492,sauvage,wild
2493,virer,fire
2494,fumée,smoke
2495,lisa,lisa
2496,engagé,engaged
2497,romantique,romantic
2498,cloche,Bell
2499,brian,brian
2500,magique,magical
2501,chers,Dear
2502,comité,committee
2503,choisis,choose
2504,voila,here is
2505,jaloux,jealous
2506,divorce,divorced
2507,lord,lord
2508,données,data
2509,détective,detective
2510,rouges,red
2511,fred,fred
2512,ambulance,ambulance
2513,rentrée,return
2514,port,Harbor
2515,anne,anne
2516,roy,roy
2517,cochon,pig
2518,enfuir,escape
2519,devra,will
2520,francisco,francisco
2521,ménage,housework
2522,roger,roger
2523,particulier,particular
2524,journaliste,journalist
2525,croix,cross
2526,pareille,like
2527,royaume,kingdom
2528,disparaître,vanish
2529,jus,juice
2530,comte,county
2531,sainte,holy
2532,soucis,troubles
2533,allemagne,Germany
2534,patience,patience
2535,fallu,took
2536,net,net
2537,suivez,follow
2538,panique,panic
2539,q,q
2540,morceaux,parts
2541,construit,built
2542,crédit,credit
2543,rater,miss
2544,normale,par
2545,attendait,expected
2546,bye,bye
2547,fromage,cheese
2548,embrasse,embrace
2549,complet,full
2550,bouffe,food
2551,boutique,shop
2552,seriez,would
2553,recommencer,restart
2554,scénario,scenario
2555,jeudi,Thursday
2556,endroits,locations
2557,brûler,burn
2558,nommé,appointed
2559,mardi,Tuesday
2560,hall,lobby
2561,réalisé,realized
2562,terry,terry
2563,passion,passion
2564,enlevé,removed
2565,profond,deep
2566,télévision,television
2567,abruti,fool
2568,réussir,succeed
2569,répond,answer
2570,red,red
2571,emmené,driven
2572,cadeaux,gifts
2573,remonter,ride up
2574,accompagner,to accompany
2575,johnson,johnson
2576,différente,different
2577,tromper,deceive
2578,pot,pot
2579,lien,link
2580,serpent,snake
2581,imaginez,imagine
2582,excusez,excuse
2583,trompé,deceived
2584,cadavre,corpse
2585,bouton,button
2586,cancer,Cancer
2587,descend,down
2588,centaines,hundreds
2589,poussière,dust
2590,piscine,swimming pool
2591,entraînement,training
2592,terminée,completed
2593,tapis,carpet
2594,esprits,minds
2595,phil,phil
2596,inviter,invite
2597,œuvre,artwork
2598,imagination,imagination
2599,chut,hush
2600,park,park
2601,existence,existence
2602,empereur,emperor
2603,décide,decided
2604,eric,eric
2605,ascenseur,elevator
2606,criminel,criminal
2607,révolution,revolution
2608,principal,main
2609,terres,land
2610,charmante,lovely
2611,promesse,promise
2612,période,period
2613,craint,fears
2614,croyait,thought
2615,courrier,mail
2616,récemment,recently
2617,écran,screen
2618,anciens,old
2619,cris,shouting
2620,passes,passes
2621,combattre,combat
2622,réveille,wake up
2623,feront,will
2624,élevé,Student
2625,têtes,heads
2626,souffre,suffer
2627,quiconque,whoever
2628,malheureux,unfortunate
2629,césar,Caesar
2630,arrives,arrived
2631,empêche,stop
2632,brisé,broken
2633,garage,garage
2634,russie,Russia
2635,Jackson,Jackson
2636,bêtes,beasts
2637,tenter,try
2638,excellente,excellent
2639,passent,spend
2640,ferez,will
2641,pub,pub
2642,logique,logic
2643,version,version
2644,permet,allows
2645,parte,parte
2646,temple,temple
2647,section,section
2648,rythme,pace
2649,propriété,property
2650,étrangers,foreign
2651,finis,finished
2652,erreurs,errors
2653,feriez,would
2654,propose,offers
2655,examen,exam
2656,nation,nation
2657,approchez,approaching
2658,différentes,different
2659,traduction,translation
2660,reconnu,recognized
2661,cap,cape
2662,meurtres,murders
2663,courageux,courageous
2664,profiter,enjoy
2665,juré,sworn
2666,miel,honey
2667,poil,hair
2668,rapports,reports
2669,chic,chic
2670,fonds,funds
2671,aimerait,would
2672,sable,sand
2673,lutte,fight
2674,fière,proud
2675,is,is
2676,japon,Japan
2677,douze,twelve
2678,labo,lab
2679,ya,ago
2680,agence,agency
2681,cependant,however
2682,indiens,Indian
2683,donnera,will give
2684,restent,remain
2685,ceinture,belt
2686,seins,bosom
2687,étonnant,surprising
2688,uns,each
2689,nourrir,feed
2690,inventé,invented
2691,sérieuse,serious
2692,ment,is lying
2693,pratique,convenient
2694,invite,invites
2695,potes,friends
2696,meurtrier,murderer
2697,vegas,vegas
2698,idéal,ideal
2699,maîtresse,mistress
2700,central,central
2701,fume,smoke
2702,équipage,crew
2703,brillant,bright
2704,trouvent,find
2705,crie,calls out
2706,laura,laura
2707,commission,commission
2708,nager,swim
2709,boit,drinking
2710,bombes,bombs
2711,figure,figure
2712,revolver,revolver
2713,crème,cream
2714,rat,rat
2715,tempête,storm
2716,refaire,remake
2717,née,born
2718,supporte,supports
2719,crever,die
2720,conduite,conduct
2721,lci,lci
2722,brown,brown
2723,pure,clean
2724,traitement,treatment
2725,porté,door
2726,voyait,saw
2727,cabine,cabin
2728,fuite,flight
2729,nationale,national
2730,estomac,stomach
2731,machines,machinery
2732,julie,julie
2733,couloir,corridor
2734,emily,emily
2735,ouah,Wow
2736,bijoux,jewelry
2737,lâcher,release
2738,acteurs,cast
2739,sentez,feeling
2740,couleurs,colors
2741,naturel,natural
2742,travaillait,was working
2743,Wilson,Wilson
2744,incendie,fire
2745,camarades,comrades
2746,chute,fall
2747,accompagne,accompanied
2748,passés,past
2749,médecins,doctors
2750,revenue,returned
2751,peinture,painting
2752,reconnaître,recognize
2753,dollar,dollar
2754,coupez,cut
2755,prénom,first name
2756,puce,chip
2757,pur,pure
2758,prier,pray
2759,actions,stock
2760,voisin,neighbour
2761,officiers,officers
2762,prévenu,warned
2763,chaude,hot
2764,bains,baths
2765,démon,Devil
2766,pierres,stone
2767,miroir,mirror
2768,forcément,necessarily
2769,lumières,lights
2770,actrice,actress
2771,jouait,played
2772,vérifie,checked
2773,comportement,behaviour
2774,avoue,confesses
2775,aient,have
2776,buvez,drink
2777,calmer,calm
2778,amy,amy
2779,technique,technical
2780,nôtres,ours
2781,obtenu,got
2782,autrefois,in the old days
2783,parlera,talk to
2784,Ryan,Ryan
2785,boss,boss
2786,parier,to bet
2787,correct,correct
2788,septembre,September
2789,libres,free
2790,affronter,face
2791,doué,gifted
2792,appellent,call
2793,repose,rests
2794,conditions,terms
2795,parfum,perfume
2796,protège,protected
2797,tasse,Cup
2798,pensée,thought
2799,salaire,salary
2800,bagnole,wagon
2801,infos,information
2802,jolies,pretty
2803,récompense,reward
2804,kim,kim
2805,essayons,try
2806,ordinaire,ordinary
2807,jeunesse,youth
2808,musée,Museum
2809,bébés{{Node-count limit exceeded,baby {{node-count limit exceeded
2810,fr|chuck}},fr | chuck}}
2811,fr|plaisantes}},fr | enjoyable}}
2812,fr|absence}},fr | no}}
2813,fr|aiors}},fr | it came to pass}}
2814,fr|échappé}},fr | escaped}}
2815,fr|fausse}},fr | false}}
2816,fr|jury}},fr | Jury}}
2817,fr|étudiants}},fr | Student}}
2818,fr|approcher}},fr | close}}
2819,fr|espagne}},fr | Spain}}
2820,fr|aprés}},fr | after}}
2821,fr|blonde}},fr | blond}}
2822,fr|condition}},fr | long}}
2823,fr|race}},fr | breed}}
2824,fr|vend}},fr | sells}}
2825,fr|absurde}},fr | nonsense}}
2826,fr|masque}},fr | mask}}
2827,fr|appellerai}},fr | call}}
2828,fr|pardonner}},fr | forgive}}
2829,fr|pouvoirs}},fr | power}}
2830,fr|laissée}},fr | left}}
2831,fr|annoncer}},fr | announce}}
2832,fr|origine}},fr | original}}
2833,fr|el}},en | el}}
2834,fr|apprends}},fr | learn}}
2835,fr|poitrine}},fr | chest}}
2836,fr|tape}},fr | pat}}
2837,fr|remis}},fr | reset}}
2838,fr|couvert}},fr | cover}}
2839,fr|large}},fr | off}}
2840,fr|prenons}},fr | take}}
2841,fr|pressé}},fr | pressed}}
2842,fr|nu}},fr | nu}}
2843,fr|loup}},fr | wolf}}
2844,fr|urgent}},fr | pressing}}
2845,fr|attente}},fr | pending}}
2846,fr|bêtises}},fr | nonsense}}
2847,fr|appels}},fr | calls}}
2848,fr|mystère}},fr | mystery}}
2849,fr|travailles}},fr |}} are working
2850,fr|vélo}},fr | bike}}
2851,fr|vends}},fr | selling}}
2852,fr|armé}},fr | armed}}
2853,fr|réaction}},fr | response}}
2854,fr|flotte}},fr |}} fleet
2855,fr|bleue}},fr | blue}}
2856,fr|foot}},fr | football}}
2857,fr|foutez}},fr | kidding}}
2858,fr|virus}},fr | virus}}
2859,fr|oeufs}},fr | eggs}}
2860,fr|élève}},fr |}} student
2861,fr|daniel}},fr | daniel}}
2862,fr|êtres}},fr | beings}}
2863,fr|vengeance}},fr | revenge}}
2864,fr|stan}},fr | stan}}
2865,fr|essayais}},fr | trying}}
2866,fr|minable}},fr | shabby}}
2867,fr|cérémonie}},fr | ceremony}}
2868,fr|gordon}},fr | gordon}}
2869,fr|uniquement}},fr | only}}
2870,fr|salauds}},fr | bastards}}
2871,fr|alan}},fr | alan}}
2872,fr|froide}},fr | cold}}
2873,fr|helen}},fr | helen}}
2874,fr|portée}},fr | range}}
2875,fr|disque}},fr | disk}}
2876,fr|attaqué}},fr | attacked}}
2877,fr|résoudre}},fr | solve}}
2878,fr|moche}},fr | ugly}}
2879,fr|scientifique}},fr | Scientific}}
2880,fr|colle}},fr | glue}}
2881,fr|lady}},fr | lady}}
2882,fr|maximum}},fr | maximum}}
2883,fr|déclaration}},fr | declaration}}
2884,fr|installer}},fr | install}}
2885,fr|blessés}},fr | wounded}}
2886,fr|effort}},fr |}} efforts
2887,fr|iras}},fr | go}}
2888,fr|commandement}},fr | command}}
2889,fr|panne}},fr | failure}}
2890,fr|visiter}},fr | visit}}
2891,fr|disiez}},fr | say}}
2892,fr|venais}},fr |'d}}
2893,fr|pointe}},fr | edge}}
2894,fr|moque}},fr | laughs}}
2895,fr|chambres}},fr | rooms}}
2896,fr|convaincu}},fr | convinced}}
2897,fr|raisonnable}},fr | reasonable}}
2898,fr|aiiez}},fr | aiiez}}
2899,fr|rencontrés}},fr | encountered}}
2900,fr|qualité}},fr | Quality}}
2901,fr|aimée}},fr | loved}}
2902,fr|irait}},fr | would}}
2903,fr|épousé}},fr | married}}
2904,fr|attitude}},fr | attitude}}
2905,fr|joseph}},fr | joseph}}
2906,fr|esclave}},fr | slave}}
2907,fr|milliards}},fr |}} billion
2908,fr|guide}},fr | guide}}
2909,fr|oeuvre}},fr | work}}
2910,fr|humour}},fr | humor}}
2911,fr|bible}},fr | Bible}}
